,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
1195,133.0,산굼부리,8,79,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,343.83752
2674,298.0,이호테우해변,11,100,2023-11-15,13.125,16,11,20,4,2023-11-15 00:00:00,November,2,fall,,,342.87265
3990,444.0,한라산둘레길사려니숲길,8,75,2023-11-17,10.833333333333334,12,10,60,4,2023-11-17 00:00:00,November,4,fall,,,341.46475
2303,256.0,오설록티뮤지엄,3,35,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,341.07516
2677,298.0,이호테우해변,11,103,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,338.35803
401,45.0,금오름,10,95,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,337.28928
3989,444.0,한라산둘레길사려니숲길,8,74,2023-11-16,13.0,16,11,72,4,2023-11-16 00:00:00,November,3,fall,,,333.92343
2297,256.0,오설록티뮤지엄,3,29,2023-11-16,13.416666666666666,17,11,64,4,2023-11-16 00:00:00,November,3,fall,,,327.6194
239,27.0,곽지해수욕장,7,68,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,324.2584
1194,133.0,산굼부리,8,78,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,324.20636
2681,298.0,이호테우해변,11,107,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,322.72827
1112,124.0,비자림,6,59,2023-11-19,13.0,18,8,20,1,2023-11-19 00:00:00,November,6,fall,,,319.34534
2048,228.0,아르떼뮤지엄제주,7,68,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,314.23706
2049,228.0,아르떼뮤지엄제주,7,69,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,309.73593
1189,133.0,산굼부리,8,73,2023-11-15,12.5,15,11,20,4,2023-11-15 00:00:00,November,2,fall,,,299.44528
1113,124.0,비자림,6,60,2023-11-20,12.5,16,9,10,1,2023-11-20 00:00:00,November,0,fall,,,293.1952
3659,407.0,카멜리아힐,3,32,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,292.02875
1114,124.0,비자림,6,61,2023-11-22,14.0,18,10,20,1,2023-11-22 00:00:00,November,2,fall,,,288.87653
3660,407.0,카멜리아힐,3,33,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,287.621
1115,124.0,비자림,6,62,2023-11-23,13.0,16,10,40,4,2023-11-23 00:00:00,November,3,fall,,,286.61365
241,27.0,곽지해수욕장,7,70,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,285.5565
240,27.0,곽지해수욕장,7,69,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,284.6154
3434,382.0,주상절리대,5,50,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,282.94864
1618,180.0,성산포종합여객터미널,2,25,2023-11-22,14.0,18,10,20,1,2023-11-22 00:00:00,November,2,fall,,,282.5071
1616,180.0,성산포종합여객터미널,2,23,2023-11-19,13.0,18,8,20,1,2023-11-19 00:00:00,November,6,fall,,,282.0846
2673,298.0,이호테우해변,11,99,2023-11-14,12.615384615384617,14,12,30,4,2023-11-14 00:00:00,November,1,fall,,,281.50522
1111,124.0,비자림,6,58,2023-11-18,10.5,14,7,40,1,2023-11-18 00:00:00,November,5,fall,,,280.29282
3658,407.0,카멜리아힐,3,31,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,280.00604
402,45.0,금오름,10,96,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,279.2532
403,45.0,금오름,10,97,2023-11-22,14.5,17,12,20,1,2023-11-22 00:00:00,November,2,fall,,,278.89743
1192,133.0,산굼부리,8,76,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,277.94666
3661,407.0,카멜리아힐,3,34,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,275.1717
1196,133.0,산굼부리,8,80,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,274.47055
238,27.0,곽지해수욕장,7,67,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,273.44037
1190,133.0,산굼부리,8,74,2023-11-16,13.0,16,11,72,4,2023-11-16 00:00:00,November,3,fall,,,273.10413
1949,217.0,신창풍차해안도로,9,86,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,271.72427
1108,124.0,비자림,6,55,2023-11-15,11.541666666666666,15,9,20,4,2023-11-15 00:00:00,November,2,fall,,,265.4691
3435,382.0,주상절리대,5,51,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,261.80643
3436,382.0,주상절리대,5,52,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,261.45065
1787,199.0,쇠소깍,5,50,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,259.4396
2676,298.0,이호테우해변,11,102,2023-11-17,10.833333333333334,12,9,60,4,2023-11-17 00:00:00,November,4,fall,,,258.57953
1789,199.0,쇠소깍,5,52,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,258.30734
1107,124.0,비자림,6,54,2023-11-14,11.23076923076923,13,10,30,4,2023-11-14 00:00:00,November,1,fall,,,257.51166
3655,407.0,카멜리아힐,3,28,2023-11-15,12.541666666666666,16,10,30,4,2023-11-15 00:00:00,November,2,fall,,,257.48676
3654,407.0,카멜리아힐,3,27,2023-11-14,12.23076923076923,14,11,30,4,2023-11-14 00:00:00,November,1,fall,,,256.8544
3662,407.0,카멜리아힐,3,35,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,255.56517
2427,270.0,용머리해안,3,33,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,255.35866
3657,407.0,카멜리아힐,3,30,2023-11-17,10.75,12,10,60,4,2023-11-17 00:00:00,November,4,fall,,,254.7452
1191,133.0,산굼부리,8,75,2023-11-17,10.833333333333334,12,10,60,4,2023-11-17 00:00:00,November,4,fall,,,252.9605
1617,180.0,성산포종합여객터미널,2,24,2023-11-20,12.5,16,9,10,1,2023-11-20 00:00:00,November,0,fall,,,252.47533
2073,231.0,아쿠아플라넷제주,2,21,2023-11-17,11.083333333333334,12,10,60,4,2023-11-17 00:00:00,November,4,fall,,,252.4275
2428,270.0,용머리해안,3,34,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,252.03867
3433,382.0,주상절리대,5,49,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,252.00644
1188,133.0,산굼부리,8,72,2023-11-14,12.153846153846152,13,11,30,4,2023-11-14 00:00:00,November,1,fall,,,250.2668
400,45.0,금오름,10,94,2023-11-18,12.0,14,10,40,1,2023-11-18 00:00:00,November,5,fall,,,249.19463
2426,270.0,용머리해안,3,32,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,248.96875
2675,298.0,이호테우해변,11,101,2023-11-16,13.375,17,11,75,4,2023-11-16 00:00:00,November,3,fall,,,247.40738
2050,228.0,아르떼뮤지엄제주,7,70,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,247.2399
242,27.0,곽지해수욕장,7,71,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,246.13254
2070,231.0,아쿠아플라넷제주,2,18,2023-11-14,12.0,13,11,30,4,2023-11-14 00:00:00,November,1,fall,,,244.1126
2408,268.0,용두암,11,104,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,243.98238
3430,382.0,주상절리대,5,46,2023-11-15,14.25,18,11,30,4,2023-11-15 00:00:00,November,2,fall,,,243.47905
3429,382.0,주상절리대,5,45,2023-11-14,13.76923076923077,16,12,30,4,2023-11-14 00:00:00,November,1,fall,,,242.37607
1788,199.0,쇠소깍,5,51,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,240.89789
234,27.0,곽지해수욕장,7,63,2023-11-14,11.76923076923077,13,10,30,4,2023-11-14 00:00:00,November,1,fall,,,237.9722
1783,199.0,쇠소깍,5,46,2023-11-15,14.25,18,11,30,4,2023-11-15 00:00:00,November,2,fall,,,237.70215
235,27.0,곽지해수욕장,7,64,2023-11-15,11.791666666666666,15,9,30,4,2023-11-15 00:00:00,November,2,fall,,,237.50468
1950,217.0,신창풍차해안도로,9,87,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,236.78545
1948,217.0,신창풍차해안도로,9,85,2023-11-18,12.0,14,10,40,1,2023-11-18 00:00:00,November,5,fall,,,236.7383
1951,217.0,신창풍차해안도로,9,88,2023-11-22,14.5,17,12,20,1,2023-11-22 00:00:00,November,2,fall,,,236.42967
2071,231.0,아쿠아플라넷제주,2,19,2023-11-15,12.625,15,11,20,4,2023-11-15 00:00:00,November,2,fall,,,236.01556
3598,400.0,천지연폭포,5,52,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,234.69449
