title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
카멜리아힐,3,407.0,2023-11-14,12.23076923076923,14,11,30,4,256.8544
카멜리아힐,3,407.0,2023-11-23,12.5,15,10,40,4,255.56517
용머리해안,3,270.0,2023-11-20,13.5,16,11,10,1,255.35866
카멜리아힐,3,407.0,2023-11-17,10.75,12,10,60,4,254.7452
산굼부리,8,133.0,2023-11-17,10.833333333333334,12,10,60,4,252.9605
성산포종합여객터미널,2,180.0,2023-11-20,12.5,16,9,10,1,252.47533
아쿠아플라넷제주,2,231.0,2023-11-17,11.083333333333334,12,10,60,4,252.4275
용머리해안,3,270.0,2023-11-22,14.0,17,11,20,1,252.03867
주상절리대,5,382.0,2023-11-18,11.5,14,9,40,1,252.00644
산굼부리,8,133.0,2023-11-14,12.153846153846152,13,11,30,4,250.2668
금오름,10,45.0,2023-11-18,12.0,14,10,40,1,249.19463
용머리해안,3,270.0,2023-11-19,15.0,18,12,20,1,248.96875
이호테우해변,11,298.0,2023-11-16,13.375,17,11,75,4,247.40738
아르떼뮤지엄제주,7,228.0,2023-11-22,14.0,17,11,20,1,247.2399
곽지해수욕장,7,27.0,2023-11-23,12.5,15,10,40,4,246.13254
아쿠아플라넷제주,2,231.0,2023-11-14,12.0,13,11,30,4,244.1126
용두암,11,268.0,2023-11-19,15.0,18,12,20,1,243.98238
주상절리대,5,382.0,2023-11-15,14.25,18,11,30,4,243.47905
주상절리대,5,382.0,2023-11-14,13.76923076923077,16,12,30,4,242.37607
쇠소깍,5,199.0,2023-11-20,13.5,16,11,10,1,240.89789
곽지해수욕장,7,27.0,2023-11-14,11.76923076923077,13,10,30,4,237.9722
쇠소깍,5,199.0,2023-11-15,14.25,18,11,30,4,237.70215
곽지해수욕장,7,27.0,2023-11-15,11.791666666666666,15,9,30,4,237.50468
신창풍차해안도로,9,217.0,2023-11-20,13.5,16,11,10,1,236.78545
신창풍차해안도로,9,217.0,2023-11-18,12.0,14,10,40,1,236.7383
신창풍차해안도로,9,217.0,2023-11-22,14.5,17,12,20,1,236.42967
아쿠아플라넷제주,2,231.0,2023-11-15,12.625,15,11,20,4,236.01556
천지연폭포,5,400.0,2023-11-22,14.0,17,11,20,1,234.69449
카멜리아힐,3,407.0,2023-11-16,13.416666666666666,17,11,64,4,234.18576
비자림,6,124.0,2023-11-16,12.166666666666666,17,8,69,4,234.09193
용머리해안,3,270.0,2023-11-18,11.5,14,9,40,1,230.52895
천지연폭포,5,400.0,2023-11-15,14.25,18,11,30,4,230.25128
아쿠아플라넷제주,2,231.0,2023-11-23,13.0,16,10,40,4,228.7408
에코랜드테마파크,8,250.0,2023-11-19,15.0,18,12,20,1,228.56174
비자림,6,124.0,2023-11-17,10.041666666666666,11,9,60,4,227.57108
천지연폭포,5,400.0,2023-11-19,15.0,18,12,20,1,227.0188
스누피가든,6,212.0,2023-11-18,10.5,14,7,40,1,226.02583
천지연폭포,5,400.0,2023-11-20,13.5,16,11,10,1,224.20882
주상절리대,5,382.0,2023-11-17,11.75,14,10,30,4,222.79738
스누피가든,6,212.0,2023-11-19,13.0,18,8,20,1,222.28795
주상절리대,5,382.0,2023-11-16,15.041666666666666,19,13,66,4,221.37523
천지연폭포,5,400.0,2023-11-18,11.5,14,9,40,1,219.21382
에코랜드테마파크,8,250.0,2023-11-22,14.0,17,11,20,1,217.77351
쇠소깍,5,199.0,2023-11-14,13.76923076923077,16,12,30,4,216.97173
용두암,11,268.0,2023-11-18,11.5,14,9,40,1,216.86232
아쿠아플라넷제주,2,231.0,2023-11-16,13.291666666666666,17,10,72,4,215.01851
에코랜드테마파크,8,250.0,2023-11-20,13.5,16,11,10,1,212.98611
용두암,11,268.0,2023-11-20,13.5,16,11,10,1,212.8593
월정리해변,6,283.0,2023-11-19,13.0,18,8,20,1,212.61168
곽지해수욕장,7,27.0,2023-11-16,12.5,17,10,73,4,212.24017
아쿠아플라넷제주,2,231.0,2023-11-22,14.0,18,10,20,1,211.7484
천지연폭포,5,400.0,2023-11-23,12.5,15,10,40,4,210.18669
천지연폭포,5,400.0,2023-11-14,13.76923076923077,16,12,30,4,209.61353
용두암,11,268.0,2023-11-15,13.125,16,11,20,4,209.09422
용두암,11,268.0,2023-11-23,12.5,15,10,40,4,208.8311
아쿠아플라넷제주,2,231.0,2023-11-20,12.5,16,9,10,1,208.41385
9.81파크,7,4.0,2023-11-19,15.0,18,12,20,1,208.17517
용두암,11,268.0,2023-11-22,14.0,17,11,20,1,208.1255
아쿠아플라넷제주,2,231.0,2023-11-18,10.5,14,7,40,1,206.47197
신창풍차해안도로,9,217.0,2023-11-15,12.583333333333334,15,10,30,4,206.46011
쇠소깍,5,199.0,2023-11-16,15.041666666666666,19,13,66,4,206.39203
아쿠아플라넷제주,2,231.0,2023-11-19,13.0,18,8,20,1,206.3559
천지연폭포,5,400.0,2023-11-16,15.041666666666666,19,13,66,4,206.2713
신창풍차해안도로,9,217.0,2023-11-14,12.538461538461538,13,12,30,4,205.8277
금오름,10,45.0,2023-11-15,11.708333333333334,15,9,30,4,205.69565
스누피가든,6,212.0,2023-11-20,12.5,16,9,10,1,205.32559
신창풍차해안도로,9,217.0,2023-11-23,13.5,15,12,40,4,205.3225
주상절리대,5,382.0,2023-11-23,12.5,15,10,40,4,203.08429
용머리해안,3,270.0,2023-11-15,12.541666666666666,16,10,30,4,202.07372
곽지해수욕장,7,27.0,2023-11-17,10.5,12,10,60,4,200.22746
9.81파크,7,4.0,2023-11-20,13.5,16,11,10,1,199.77132
9.81파크,7,4.0,2023-11-18,11.5,14,9,40,1,199.76157
용두암,11,268.0,2023-11-14,12.615384615384617,14,12,30,4,199.63686
용두암,11,268.0,2023-11-17,10.833333333333334,12,9,60,4,198.14485
용머리해안,3,270.0,2023-11-23,12.5,15,10,40,4,196.64952
김녕해수욕장,6,50.0,2023-11-19,13.0,18,8,20,1,195.80319
천지연폭포,5,400.0,2023-11-17,11.75,14,10,30,4,195.28346
하귀애월해안도로,7,434.0,2023-11-19,15.0,18,12,20,1,194.73007
성산포종합여객터미널,2,180.0,2023-11-15,12.625,15,11,20,4,194.5098
금오름,10,45.0,2023-11-14,12.153846153846152,13,11,30,4,193.97023
하귀애월해안도로,7,434.0,2023-11-18,11.5,14,9,40,1,193.57254
에코랜드테마파크,8,250.0,2023-11-18,11.5,14,9,40,1,193.1898
정방폭포,5,305.0,2023-11-19,15.0,18,12,20,1,192.01112
에코랜드테마파크,8,250.0,2023-11-15,12.5,15,11,20,4,191.86127
스누피가든,6,212.0,2023-11-22,14.0,18,10,20,1,190.72945
9.81파크,7,4.0,2023-11-22,14.0,17,11,20,1,187.75165
정방폭포,5,305.0,2023-11-15,14.25,18,11,30,4,187.73602
성산포종합여객터미널,2,180.0,2023-11-16,13.291666666666666,17,10,72,4,183.39507
스누피가든,6,212.0,2023-11-17,10.041666666666666,11,9,60,4,182.60272
용머리해안,3,270.0,2023-11-14,12.23076923076923,14,11,30,4,182.60114
스누피가든,6,212.0,2023-11-15,11.541666666666666,15,9,20,4,182.15906
스누피가든,6,212.0,2023-11-14,11.23076923076923,13,10,30,4,182.08218
광치기해변,2,30.0,2023-11-19,13.0,18,8,20,1,181.79185
금오름,10,45.0,2023-11-23,13.5,15,12,40,4,181.193
김녕해수욕장,6,50.0,2023-11-22,14.0,18,10,20,1,180.81714
금능해수욕장,10,42.0,2023-11-20,13.5,16,11,10,1,179.92535
신창풍차해안도로,9,217.0,2023-11-17,11.375,12,10,60,4,179.19835
하귀애월해안도로,7,434.0,2023-11-20,13.5,16,11,10,1,179.00978
정방폭포,5,305.0,2023-11-18,11.5,14,9,40,1,178.9764
쇠소깍,5,199.0,2023-11-18,11.5,14,9,40,1,178.81734
쇠소깍,5,199.0,2023-11-23,12.5,15,10,40,4,178.707
신창풍차해안도로,9,217.0,2023-11-16,13.166666666666666,17,10,64,4,178.61687
하귀애월해안도로,7,434.0,2023-11-22,14.0,17,11,20,1,177.61646
정방폭포,5,305.0,2023-11-20,13.5,16,11,10,1,177.38588
정방폭포,5,305.0,2023-11-22,14.0,17,11,20,1,177.0301
에코랜드테마파크,8,250.0,2023-11-23,12.5,15,10,40,4,176.422
월정리해변,6,283.0,2023-11-22,14.0,18,10,20,1,173.71693
하귀애월해안도로,7,434.0,2023-11-15,11.791666666666666,15,9,30,4,172.49043
에코랜드테마파크,8,250.0,2023-11-16,13.0,16,11,72,4,171.58626
스누피가든,6,212.0,2023-11-23,13.0,16,10,40,4,171.55681
용두암,11,268.0,2023-11-16,13.375,17,11,75,4,171.17628
쇠소깍,5,199.0,2023-11-17,11.75,14,10,30,4,170.92354
성산항,2,181.0,2023-11-19,13.0,18,8,20,1,170.39444
금능해수욕장,10,42.0,2023-11-19,15.0,18,12,20,1,169.5239
하귀애월해안도로,7,434.0,2023-11-14,11.76923076923077,13,10,30,4,169.18457
광치기해변,2,30.0,2023-11-18,10.5,14,7,40,1,169.03355
월정리해변,6,283.0,2023-11-18,10.5,14,7,40,1,167.28056
성산항,2,181.0,2023-11-20,12.5,16,9,10,1,166.75888
정방폭포,5,305.0,2023-11-17,11.75,14,10,30,4,166.69492
김녕해수욕장,6,50.0,2023-11-18,10.5,14,7,40,1,166.69319
정방폭포,5,305.0,2023-11-14,13.76923076923077,16,12,30,4,166.53436
성산항,2,181.0,2023-11-22,14.0,18,10,20,1,165.53809
